"","year","location_id","location","lat","lng","AvgTotal"
"1",1984,3926,"BLOOR ST AT SOUTH KINGSWAY & RIVERVIEW GARDENS (PX 334)",43.6483120026845,-79.485752005821,8474
"2",1984,3934,"LAKE SHORE BLVD W AT LONG BRANCH AVE (PX 240)",43.5943610013999,-79.5340159965817,5647
"3",1984,3940,"BLACK CREEK DR AT LAWRENCE AVE W (PX 1348)",43.7049499965318,-79.494096001504,17625
"4",1984,3950,"KINGSTON RD AT BROOKLAWN AVE & ST CLAIR AVE E",43.72203282,-79.236019123,11820
"5",1984,3953,"KINGSTON RD AT LAWRENCE AVE (PX 144)",43.7676529995469,-79.1896089953668,13885
"6",1984,3968,"FINCH AVE AT WESTON RD (PX 589)",43.7520890023072,-79.5423800036705,12023
"7",1984,3970,"HIGHWAY 27 AT REXDALE BLVD (PX 1161)",43.7172679984177,-79.5956219954485,14931
"8",1984,3974,"TODD BAYLIS BLVD AT TRETHEWEY DR (PX 823)",43.6952200017459,-79.4876260004423,3213
"9",1984,3975,"DANFORTH AVE AT DANFORTH RD (PX 357)",43.6936459956388,-79.277289999493,6936
"10",1984,3976,"EGLINTON SQ AT O CONNOR DR & VICTORIA PARK AVE (PX 449)",43.7233799979155,-79.3021000034533,12818
"11",1984,3977,"DANFORTH AVE AT VICTORIA PARK AVE (PX 355)",43.6912320035612,-79.2883580010287,12492
"12",1984,3978,"EGLINTON AVE AT VICTORIA PARK AVE (PX 451)",43.7247229984498,-79.3026450060334,18187
"13",1984,3981,"ELLESMERE RD AT PARKWOODS VILLAGE DR & VICTORIA PARK AVE (PX 517)",43.7578689999837,-79.3152450009711,11662
"14",1984,3983,"SHEPPARD AVE AT VICTORIA PARK AVE (PX 748)",43.7752439996085,-79.3230170005941,16778
"15",1984,3995,"ST CLAIR AVE AT WARDEN AVE (PX 473)",43.7120449982176,-79.2810030013331,12980
"16",1984,3996,"EGLINTON AVE AT WARDEN AVE (PX 456)",43.7278459996581,-79.2876159989679,17813
"17",1984,3999,"STEELES AVE AT WARDEN AVE (PX 1191)",43.8196309971665,-79.3244360012383,17311
"18",1984,4005,"ADELAIDE ST AT CHURCH ST (PX 17)",43.6511850008423,-79.3749460039816,8839
"19",1984,4007,"ADELAIDE ST AT BRANT ST (PX 1807)",43.6462319958985,-79.3981509938974,3903
"20",1984,4009,"RICHMOND ST AT SHERBOURNE ST (PX 256)",43.6533780017567,-79.3691479979037,8497
"21",1984,4010,"PARLIAMENT ST AT RICHMOND ST (PX 223)",43.6545590020721,-79.3640229981739,8282
"22",1984,4012,"RICHMOND ST AT YORK ST (PX 74)",43.6504399994829,-79.3846500033475,5762
"23",1984,4022,"EAST DR AT JANE ST & OUTLOOK AVE (PX 526)",43.6789389990978,-79.4968650010086,6479
"24",1984,4024,"JANE ST AT WILSON AVE (PX 532)",43.7209150020263,-79.5086339938217,13836
"25",1984,4027,"GRANDRAVINE DR AT JANE ST (PX 962)",43.7470939967857,-79.5151280048406,6692
"26",1984,4029,"FINCH AVE AT JANE ST (PX 534)",43.7572339969224,-79.5177309991266,13729
"27",1984,4032,"BLOOR ST W AT DUNDAS ST W (PX 327)",43.6563209983055,-79.4524529944193,10471
"28",1984,4038,"AUKLAND RD AT DUNDAS ST (PX 1350)",43.6385239967894,-79.5380109947048,11158
"29",1984,4042,"EGLINTON AVE AT KENNEDY RD (PX 460)",43.7322010042452,-79.2679310030551,16601
"30",1984,4044,"KENNEDY RD AT LAWRENCE AVE (PX 412)",43.7494969990482,-79.2749339946496,17249
"31",1984,4047,"ELLESMERE RD AT KENNEDY RD (PX 696)",43.7658020018831,-79.2810779945309,18384.5
"32",1984,4048,"GLAMORGAN AVE AT KENNEDY RD & PROGRESS AVE (PX 692)",43.7694209974081,-79.2822569975367,16655
"33",1984,4049,"KENNEDY RD AT MTO DRIVEWAY & VILLAGE GREEN SQ (PX 1592)",43.7772530035375,-79.2855579940141,11644
"34",1984,4050,"KENNEDY RD AT SHEPPARD AVE (PX 752)",43.7832860020415,-79.2882629959488,16525
"35",1984,4052,"KENNEDY RD AT STEELES AVE (PX 1192)",43.8236890021031,-79.3070659963315,10305
"36",1984,4056,"BLOOR ST E AT CHURCH ST (PX 25)",43.6710460012671,-79.3831599997752,11463
"37",1984,4058,"BLOOR ST W AT OSSINGTON AVE (PX 341)",43.6619839983533,-79.4256589977268,9142
"38",1984,4072,"ST CLAIR AVE W AT KEELE ST & WESTON RD (PX 493)",43.6725340044784,-79.4676229982737,10393
"39",1984,4075,"KEELE ST AT SHEPPARD AVE (PX 600)",43.7447770044339,-79.4864519947699,14234
"40",1984,4077,"FINCH AVE AT KEELE ST (PX 601)",43.7635019997785,-79.4910530008597,14750
"41",1984,4079,"KEELE ST AT CANARCTIC DR & YORK BLVD (PX 956)",43.7752130003641,-79.4940480001791,8635
"42",1984,4081,"BLOOR ST E AT CASTLE FRANK RD (PX 295)",43.6737749963123,-79.3682040061856,16615
"43",1984,4086,"BURNHAMTHORPE RD AT THE WEST MALL (PX 875)",43.6445519973412,-79.5672499997767,13399
